,o_state_id,o_state_name,d_state_id,d_state_name,race,quintile,n
341,1,Alabama,17,Illinois,Other,2,33
342,1,Alabama,17,Illinois,Other,3,15
343,1,Alabama,17,Illinois,Other,4,7
344,1,Alabama,17,Illinois,Other,5,6
345,1,Alabama,17,Illinois,White,1,125
346,1,Alabama,17,Illinois,White,2,141
347,1,Alabama,17,Illinois,White,3,183
348,1,Alabama,17,Illinois,White,4,171
349,1,Alabama,17,Illinois,White,5,326
350,1,Alabama,18,Indiana,Asian,1,1
351,1,Alabama,18,Indiana,Asian,2,0
352,1,Alabama,18,Indiana,Asian,3,0
353,1,Alabama,18,Indiana,Asian,4,0
354,1,Alabama,18,Indiana,Asian,5,1
355,1,Alabama,18,Indiana,Black,1,194
356,1,Alabama,18,Indiana,Black,2,116
357,1,Alabama,18,Indiana,Black,3,36
358,1,Alabama,18,Indiana,Black,4,19
359,1,Alabama,18,Indiana,Black,5,15
360,1,Alabama,18,Indiana,Hispanic,1,13
361,1,Alabama,18,Indiana,Hispanic,2,4
362,1,Alabama,18,Indiana,Hispanic,3,6
363,1,Alabama,18,Indiana,Hispanic,4,6
364,1,Alabama,18,Indiana,Hispanic,5,2
365,1,Alabama,18,Indiana,Other,1,20
366,1,Alabama,18,Indiana,Other,2,29
367,1,Alabama,18,Indiana,Other,3,10
368,1,Alabama,18,Indiana,Other,4,12
369,1,Alabama,18,Indiana,Other,5,2
370,1,Alabama,18,Indiana,White,1,147
371,1,Alabama,18,Indiana,White,2,128
372,1,Alabama,18,Indiana,White,3,138
373,1,Alabama,18,Indiana,White,4,127
374,1,Alabama,18,Indiana,White,5,131
375,1,Alabama,19,Iowa,Asian,1,0
376,1,Alabama,19,Iowa,Asian,2,2
377,1,Alabama,19,Iowa,Asian,3,0
378,1,Alabama,19,Iowa,Asian,4,1
379,1,Alabama,19,Iowa,Asian,5,1
380,1,Alabama,19,Iowa,Black,1,31
381,1,Alabama,19,Iowa,Black,2,16
382,1,Alabama,19,Iowa,Black,3,6
383,1,Alabama,19,Iowa,Black,4,3
384,1,Alabama,19,Iowa,Black,5,2
385,1,Alabama,19,Iowa,Hispanic,1,3
386,1,Alabama,19,Iowa,Hispanic,2,1
387,1,Alabama,19,Iowa,Hispanic,3,0
388,1,Alabama,19,Iowa,Hispanic,4,1
389,1,Alabama,19,Iowa,Hispanic,5,1
390,1,Alabama,19,Iowa,Other,1,7
391,1,Alabama,19,Iowa,Other,2,1
392,1,Alabama,19,Iowa,Other,3,2
393,1,Alabama,19,Iowa,Other,4,3
394,1,Alabama,19,Iowa,Other,5,1
395,1,Alabama,19,Iowa,White,1,24
396,1,Alabama,19,Iowa,White,2,42
397,1,Alabama,19,Iowa,White,3,35
398,1,Alabama,19,Iowa,White,4,44
399,1,Alabama,19,Iowa,White,5,44
400,1,Alabama,20,Kansas,Asian,1,2
401,1,Alabama,20,Kansas,Asian,2,1
402,1,Alabama,20,Kansas,Asian,3,1
403,1,Alabama,20,Kansas,Asian,4,0
404,1,Alabama,20,Kansas,Asian,5,2
405,1,Alabama,20,Kansas,Black,1,46
406,1,Alabama,20,Kansas,Black,2,45
407,1,Alabama,20,Kansas,Black,3,5
408,1,Alabama,20,Kansas,Black,4,11
409,1,Alabama,20,Kansas,Black,5,5
410,1,Alabama,20,Kansas,Hispanic,1,6
411,1,Alabama,20,Kansas,Hispanic,2,5
412,1,Alabama,20,Kansas,Hispanic,3,4
413,1,Alabama,20,Kansas,Hispanic,4,2
414,1,Alabama,20,Kansas,Hispanic,5,3
415,1,Alabama,20,Kansas,Other,1,13
416,1,Alabama,20,Kansas,Other,2,8
417,1,Alabama,20,Kansas,Other,3,12
418,1,Alabama,20,Kansas,Other,4,4
419,1,Alabama,20,Kansas,Other,5,4
420,1,Alabama,20,Kansas,White,1,61
421,1,Alabama,20,Kansas,White,2,67
422,1,Alabama,20,Kansas,White,3,78
423,1,Alabama,20,Kansas,White,4,58
424,1,Alabama,20,Kansas,White,5,61
425,1,Alabama,21,Kentucky,Asian,1,0
426,1,Alabama,21,Kentucky,Asian,2,0
427,1,Alabama,21,Kentucky,Asian,3,1
428,1,Alabama,21,Kentucky,Asian,4,2
429,1,Alabama,21,Kentucky,Asian,5,2
430,1,Alabama,21,Kentucky,Black,1,136
431,1,Alabama,21,Kentucky,Black,2,79
432,1,Alabama,21,Kentucky,Black,3,34
433,1,Alabama,21,Kentucky,Black,4,16
434,1,Alabama,21,Kentucky,Black,5,13
435,1,Alabama,21,Kentucky,Hispanic,1,9
436,1,Alabama,21,Kentucky,Hispanic,2,5
437,1,Alabama,21,Kentucky,Hispanic,3,3
438,1,Alabama,21,Kentucky,Hispanic,4,6
439,1,Alabama,21,Kentucky,Hispanic,5,4
440,1,Alabama,21,Kentucky,Other,1,18
441,1,Alabama,21,Kentucky,Other,2,16
442,1,Alabama,21,Kentucky,Other,3,14
443,1,Alabama,21,Kentucky,Other,4,6
444,1,Alabama,21,Kentucky,Other,5,13
445,1,Alabama,21,Kentucky,White,1,152
446,1,Alabama,21,Kentucky,White,2,135
447,1,Alabama,21,Kentucky,White,3,207
448,1,Alabama,21,Kentucky,White,4,229
449,1,Alabama,21,Kentucky,White,5,262
450,1,Alabama,22,Louisiana,Asian,1,6
451,1,Alabama,22,Louisiana,Asian,2,5
452,1,Alabama,22,Louisiana,Asian,3,7
453,1,Alabama,22,Louisiana,Asian,4,3
454,1,Alabama,22,Louisiana,Asian,5,6
455,1,Alabama,22,Louisiana,Black,1,335
456,1,Alabama,22,Louisiana,Black,2,185
457,1,Alabama,22,Louisiana,Black,3,79
458,1,Alabama,22,Louisiana,Black,4,61
459,1,Alabama,22,Louisiana,Black,5,47
460,1,Alabama,22,Louisiana,Hispanic,1,21
461,1,Alabama,22,Louisiana,Hispanic,2,21
462,1,Alabama,22,Louisiana,Hispanic,3,6
463,1,Alabama,22,Louisiana,Hispanic,4,12
464,1,Alabama,22,Louisiana,Hispanic,5,9
465,1,Alabama,22,Louisiana,Other,1,63
466,1,Alabama,22,Louisiana,Other,2,46
467,1,Alabama,22,Louisiana,Other,3,26
468,1,Alabama,22,Louisiana,Other,4,27
469,1,Alabama,22,Louisiana,Other,5,21
470,1,Alabama,22,Louisiana,White,1,296
471,1,Alabama,22,Louisiana,White,2,323
472,1,Alabama,22,Louisiana,White,3,413
473,1,Alabama,22,Louisiana,White,4,488
474,1,Alabama,22,Louisiana,White,5,599
475,1,Alabama,23,Maine,Asian,1,0
476,1,Alabama,23,Maine,Asian,2,0
477,1,Alabama,23,Maine,Asian,3,0
478,1,Alabama,23,Maine,Asian,4,0
479,1,Alabama,23,Maine,Asian,5,0
480,1,Alabama,23,Maine,Black,1,17
481,1,Alabama,23,Maine,Black,2,0
482,1,Alabama,23,Maine,Black,3,1
483,1,Alabama,23,Maine,Black,4,0
484,1,Alabama,23,Maine,Black,5,0
485,1,Alabama,23,Maine,Hispanic,1,0
486,1,Alabama,23,Maine,Hispanic,2,0
487,1,Alabama,23,Maine,Hispanic,3,1
488,1,Alabama,23,Maine,Hispanic,4,0
489,1,Alabama,23,Maine,Hispanic,5,0
490,1,Alabama,23,Maine,Other,1,3
491,1,Alabama,23,Maine,Other,2,1
492,1,Alabama,23,Maine,Other,3,3
493,1,Alabama,23,Maine,Other,4,0
494,1,Alabama,23,Maine,Other,5,0
495,1,Alabama,23,Maine,White,1,26
496,1,Alabama,23,Maine,White,2,7
497,1,Alabama,23,Maine,White,3,15
498,1,Alabama,23,Maine,White,4,20
499,1,Alabama,23,Maine,White,5,12
500,1,Alabama,24,Maryland,Asian,1,1
